,user_id,created_at,username,description,is_verified,location
0,1373970865205956608,1616415175,TariqPashteen8,خدائی 🥀آمن 🌼مینہ 🌷ژوند,False,
1,1690119433,1377148408,fhzadran,"Student of Life|Struggling for Life Justice and Peace|Tweets are my views. RTs, likes & replies are not endorsement.",False,Kabul 
2,2598504878,1404246135,NajeebNangyal,"MSc. Student @NDU_EDU | Past: Dir. Media & Public Affairs @moiafghanistan , Dir. External Relations @afghanistanHPC",False,Washington D.C
3,1388788641531633666,1619947999,shah_khosty,شل کاله په افغانستان کی پښتون نسل وژنه روانه ده، افغانان کی غزت غواړی خوارجو مقابل کی باید ملی قیام وکړی دې هری ورځی وژلو نه دې یوې ورځی وژل تاریخ جوړه وانه ده,False,
4,1303030450366165004,1599501653,IeaOffice,"‏‏‏‏دا.ا.ا.د سیاسي دفتر ویاند.سخنگوی دفتر سیاسی ا.ا.ا
Spokesman of the Political Office of the Islamic Emirate of Afghanistan.",False,Qatar
5,1097782245308461056,1550566657,Rishi97342240,"I am simple heart and compassionate, love to help destitute people, I hate lie and hypocrite folks",False,
6,1218569514402623489,1579364630,NadimaOmar,🍔,False,"Afghanistan - Antalya, Türkiye"
7,757442478542848006,1469423334,hXBGBs9smg6RsjZ,,False,Afghanistan
8,483620211,1328423787,jafarhaand,Editor. Published author. Alumnus @AmericanU. @ACBofficials Honorary Ambassador. Cricket History in the World and Afghanistan is my recently published book.,True,"Washington, DC"
9,778551721282985984,1474456170,Askarzai_,a Patriot Afghan and a Sharp Artist,False,Afghanistan
10,1082930332498911232,1547025685,themariash,"Political activist, dream to be a leader 😊, and a good human and Afghan. @TrendYouth",False,
11,362302230,1314335318,WahajZia,Researcher || Economist || University of Adelaide || Washington State University,False,
12,331622151,1310131313,Seeyalyousofi,"former News Reporter & International news provider at @ShamshadNetwork , Views My OWN",False,"Kabul, Afghanistan"
13,35434428,1240736448,tawheednn,"-Human Rights Activist
-Ex-Livestock Director
-Retweet r not endorsement",False,Afghanistan
14,2850996269,1414652234,Stanikzaiii,#ProudAfghan 🇦🇫| Leader of @TrendYouth. views are personal,False,"Kabul, Afghanistan"
15,1389629540830490624,1620148523,Sultanm76415121,Love Afghanistan,False,
16,1201352515876470785,1575259748,Achakzai__raziq,‏‏‏‏خوف خدا ، حب رسول، او تقوی,False,پښتونخواه وطن
17,445860870,1324772614,Afgha_Nite,ǟ #ɢɛօʟօɢɨֆȶ ʄʀօʍ #զʊɛȶȶǟ - ֆօʊȶɦɛʀռ #քǟֆɦȶʊռӄɦաǟ & #ǟʄɢɦǟռɨֆȶǟռ - ȶɦɛ ʟǟֆȶ ʍǟռ օʄ ȶɦɛ ʟօֆȶ ȶʀɨɮɛ :-),False,Quetta - Balochistan
